frame,zoom_level,uncertainty,area,conf,lost,latency,command
1,1,0.000000,0.00705078,1.000000,0,0.000000,init
2,1,0.255453,0.00473599,0.520107,0,0.850169,zoom_in_to_2
3,2,0.172517,0.00485948,0.817782,0,0.019962,cooldown_keep
4,2,0.157099,0.00483152,0.819388,0,0.018502,cooldown_keep
5,2,0.102982,0.00461096,0.815109,0,0.018003,cooldown_keep
6,2,0.126205,0.00511242,0.791730,0,0.017489,cooldown_keep
7,2,0.077693,0.00534295,0.834158,0,0.017428,zoom_in_to_4
8,4,0.076403,0.00605513,0.893089,0,0.016528,keep
9,4,0.067416,0.00689172,0.888508,0,0.017054,keep
10,4,0.056699,0.00785276,0.909255,0,0.016045,keep
11,4,0.056578,0.00870062,0.879436,0,0.015457,keep
12,4,0.073475,0.00865755,0.885721,0,0.015601,keep
13,4,0.081286,0.00848234,0.882347,0,0.015538,keep
14,4,0.076446,0.00751584,0.851678,0,0.016215,keep
15,4,0.081590,0.00637667,0.847611,0,0.015847,keep
16,4,0.081707,0.00621604,0.858195,0,0.015794,keep
17,4,0.075745,0.00653017,0.872633,0,0.015376,keep
18,4,0.064009,0.00722124,0.898569,0,0.015337,keep
19,4,0.085312,0.00868561,0.903788,0,0.015134,keep
20,4,0.062768,0.00976698,0.855891,0,0.015110,keep
21,4,0.068283,0.01049358,0.876678,0,0.015843,keep
22,4,0.099772,0.01098732,0.798437,0,0.015509,keep
23,4,0.082384,0.00989844,0.869941,0,0.015720,keep
24,4,0.097089,0.00870745,0.846728,0,0.015087,keep
25,4,0.064226,0.00824341,0.903586,0,0.014670,keep
26,4,0.083084,0.00848257,0.870810,0,0.014747,keep
27,4,0.056610,0.00872931,0.900877,0,0.019644,keep
28,4,0.066756,0.00935452,0.891275,0,0.015473,keep
29,4,0.078723,0.01030656,0.870448,0,0.015330,keep
30,4,0.060737,0.01143699,0.882765,0,0.014973,keep
31,4,0.060363,0.01207759,0.889672,0,0.014426,zoom_out_to_2
32,2,0.091167,0.01102911,0.823408,0,0.014729,keep
33,2,0.079882,0.01086711,0.846368,0,0.015305,keep
34,2,0.086512,0.00986067,0.861407,0,0.015551,keep
35,2,0.078819,0.00939280,0.831841,0,0.014988,keep
36,2,0.066855,0.00942126,0.857898,0,0.015245,keep
37,2,0.083250,0.01010854,0.839718,0,0.015522,keep
38,2,0.066778,0.01108670,0.879017,0,0.015067,keep
39,2,0.064586,0.01285052,0.916512,0,0.015321,keep
40,2,0.053780,0.01429214,0.901345,0,0.015111,keep
41,2,0.117747,0.01439149,0.798579,0,0.015471,keep
42,2,0.095609,0.01346440,0.861057,0,0.015172,keep
43,2,0.092397,0.01224621,0.835876,0,0.015513,keep
44,2,0.147975,0.01061921,0.772700,0,0.016431,keep
45,2,0.114409,0.00952391,0.786801,0,0.016045,keep
46,2,0.148443,0.00949853,0.789269,0,0.015837,keep
47,2,0.123256,0.00950414,0.782670,0,0.015683,keep
48,2,0.118816,0.00997974,0.793654,0,0.015451,keep
49,2,0.136652,0.01122821,0.808918,0,0.015479,keep
50,2,0.109279,0.01082221,0.804342,0,0.015761,keep
51,2,0.133714,0.00964033,0.755704,0,0.016169,keep
52,2,0.131649,0.00881973,0.761792,0,0.015895,keep
53,2,0.132799,0.00803439,0.736660,0,0.016194,zoom_in_to_4
54,4,0.087985,0.00786782,0.867247,0,0.016986,keep
55,4,0.084399,0.00754086,0.855145,0,0.015664,keep
56,4,0.102829,0.00723328,0.808768,0,0.015609,keep
57,4,0.080110,0.00754473,0.893862,0,0.015340,keep
58,4,0.065263,0.00760505,0.872598,0,0.016300,keep
59,4,0.076367,0.00735802,0.877166,0,0.017944,keep
60,4,0.082218,0.00651438,0.869048,0,0.016855,keep
61,4,0.094684,0.00557949,0.886512,0,0.015735,keep
62,4,0.110878,0.00551251,0.876940,0,0.015820,keep
63,4,0.083831,0.00525306,0.847793,0,0.015177,keep
64,4,0.109017,0.00534815,0.818206,0,0.015049,keep
65,4,0.106481,0.00563937,0.842692,0,0.015637,keep
66,4,0.116523,0.00589604,0.838340,0,0.015220,keep
67,4,0.091872,0.00616324,0.810626,0,0.015297,keep
68,4,0.150750,0.00549110,0.701084,0,0.015721,keep
69,4,0.151938,0.00505538,0.789620,0,0.015259,keep
70,4,0.140899,0.00472918,0.735262,0,0.015889,keep
71,4,0.114002,0.00468106,0.834078,0,0.015577,keep
72,4,0.119655,0.00494398,0.776008,0,0.016225,keep
73,4,0.128669,0.00453329,0.690349,0,0.015681,keep
74,4,0.137349,0.00475813,0.696082,0,0.016445,keep
75,4,0.098052,0.00458328,0.780613,0,0.015852,keep
76,4,0.111068,0.00472841,0.741956,0,0.015881,keep
77,4,0.152226,0.00561549,0.696793,0,0.015452,keep
78,4,0.108483,0.00531740,0.747797,0,0.015837,keep
79,4,0.124915,0.00591815,0.744586,0,0.016389,keep
80,4,0.290725,0.00603943,0.149419,0,0.015472,keep
81,4,0.192501,0.00477355,0.603721,0,0.015178,keep
82,4,0.179813,0.00439328,0.543429,0,0.015485,keep
83,4,0.205384,0.00503946,0.511014,0,0.015115,keep
84,4,0.223398,0.00654550,0.514753,0,0.015197,keep
85,4,0.130647,0.00711185,0.634984,0,0.015736,keep
86,4,0.210863,0.00631199,0.617930,0,0.015801,keep
87,4,0.186485,0.00528856,0.578946,0,0.015969,keep
88,4,0.253491,0.00636144,0.488789,0,0.015830,keep
89,4,0.152654,0.00669196,0.574522,0,0.015683,keep
90,4,0.227581,0.00685161,0.351595,0,0.015487,keep
91,4,0.150120,0.00676290,0.583814,0,0.017185,keep
92,4,0.226993,0.00696313,0.363428,0,0.016826,keep
93,4,0.296698,0.00710176,0.103626,0,0.016347,keep
94,4,0.328827,0.00436770,0.387515,0,0.015931,keep
95,4,0.229568,0.00402109,0.482008,0,0.015731,keep
96,4,0.201315,0.00380224,0.520846,0,0.015861,keep
97,4,0.239137,0.00432367,0.427174,0,0.016456,keep
98,4,0.175712,0.00420335,0.552441,0,0.016027,keep
99,4,0.265207,0.00454397,0.277540,0,0.015971,keep
100,4,0.228983,0.00411773,0.391136,0,0.016021,keep
101,4,0.430539,0.00645317,0.112005,0,0.015397,keep
102,4,0.380552,0.00447561,0.219265,0,0.015506,keep
103,4,0.292039,0.00346844,0.291524,0,0.015285,keep
104,4,0.332788,0.00364194,0.156643,0,0.015366,keep
105,4,0.315016,0.00355965,0.120658,0,0.016066,keep
106,4,0.284765,0.00357713,0.205293,0,0.016046,keep
107,4,0.386397,0.00231487,0.164102,0,0.016195,keep
