frame,zoom_level,uncertainty,area,conf,lost,latency,command
1,1,0.000000,0.00888672,1.000000,0,0.000000,init
2,1,0.098310,0.00859640,0.907570,0,0.051960,keep
3,1,0.082213,0.00800236,0.879458,0,0.017901,zoom_in_to_2
4,2,0.080616,0.00726510,0.925456,0,0.016943,cooldown_keep
5,2,0.058939,0.00682856,0.939191,0,0.016459,cooldown_keep
6,2,0.051514,0.00632926,0.942483,0,0.016500,cooldown_keep
7,2,0.045347,0.00598533,0.950651,0,0.016442,cooldown_keep
8,2,0.045965,0.00568208,0.918395,0,0.017083,zoom_in_to_4
9,4,0.148064,0.00503284,0.643071,0,0.016194,keep
10,4,0.063354,0.00470046,0.881764,0,0.015763,keep
11,4,0.053031,0.00436269,0.910039,0,0.016018,keep
12,4,0.052349,0.00414241,0.923654,0,0.015747,keep
13,4,0.058000,0.00408396,0.905890,0,0.015755,keep
14,4,0.048505,0.00389464,0.923685,0,0.015998,keep
15,4,0.063090,0.00357606,0.873545,0,0.015660,keep
16,4,0.050228,0.00346037,0.909141,0,0.015197,keep
17,4,0.053079,0.00331791,0.899534,0,0.015561,keep
18,4,0.049276,0.00316724,0.907070,0,0.015840,keep
19,4,0.056087,0.00312190,0.888612,0,0.016138,keep
20,4,0.047201,0.00304106,0.891003,0,0.016093,keep
21,4,0.040853,0.00285116,0.929739,0,0.016038,keep
22,4,0.035954,0.00270978,0.944818,0,0.015631,keep
23,4,0.053927,0.00271004,0.890084,0,0.016083,keep
24,4,0.036354,0.00261604,0.940118,0,0.015488,keep
25,4,0.050643,0.00251063,0.877734,0,0.018198,keep
26,4,0.070343,0.00259454,0.870177,0,0.017477,keep
27,4,0.076358,0.00237338,0.855900,0,0.017139,keep
28,4,0.047227,0.00219728,0.903815,0,0.016450,keep
29,4,0.060881,0.00219831,0.871034,0,0.016207,keep
30,4,0.067834,0.00221258,0.843760,0,0.015758,keep
31,4,0.092767,0.00235258,0.799297,0,0.015733,keep
32,4,0.095000,0.00214386,0.803166,0,0.016458,keep
33,4,0.126818,0.00208260,0.638914,0,0.015403,zoom_in_to_8
34,8,0.042802,0.00193666,0.932646,0,0.015492,keep
35,8,0.039953,0.00184773,0.925311,0,0.015341,keep
36,8,0.062700,0.00175572,0.859882,0,0.015240,keep
37,8,0.091949,0.00179447,0.785522,0,0.015683,keep
38,8,0.046041,0.00169572,0.909688,0,0.015177,keep
39,8,0.096425,0.00167864,0.737818,0,0.015389,keep
40,8,0.062266,0.00178007,0.869841,0,0.015546,keep
41,8,0.052183,0.00162878,0.918327,0,0.016691,keep
42,8,0.031609,0.00155463,0.959647,0,0.015572,keep
43,8,0.036588,0.00160863,0.944397,0,0.015658,keep
44,8,0.048061,0.00155314,0.894504,0,0.015250,keep
45,8,0.064302,0.00154202,0.866254,0,0.015448,keep
