frame,zoom_level,uncertainty,area,conf,lost,latency,command
1,1,0.000000,0.00349935,1.000000,0,0.000000,init
2,1,0.310424,0.00349935,0.425000,1,0.051741,keep
3,1,0.377333,0.00349935,0.361250,2,0.017522,keep
4,1,0.411783,0.00349935,0.307062,3,0.016516,keep
5,1,0.432816,0.00349935,0.261003,4,0.015873,keep
6,1,0.447660,0.00349935,0.221853,5,0.016019,keep
7,1,0.459160,0.00349935,0.188575,6,0.015348,keep
8,1,0.468525,0.00349935,0.160289,7,0.015155,keep
9,1,0.493577,0.00432379,0.126372,0,0.015583,zoom_in_to_2
10,2,0.253557,0.00465356,0.323956,0,0.016454,cooldown_keep
11,2,0.259864,0.00499509,0.259753,0,0.016331,cooldown_keep
12,2,0.292954,0.00481751,0.149968,0,0.016885,cooldown_keep
13,2,0.196643,0.00511637,0.434158,0,0.017024,cooldown_keep
14,2,0.231176,0.00544279,0.316562,0,0.016543,zoom_in_to_4
15,4,0.308819,0.00460337,0.171986,0,0.016383,keep
16,4,0.311172,0.00481186,0.156783,0,0.015772,keep
17,4,0.409963,0.00541899,0.309258,0,0.015616,keep
18,4,0.243568,0.00547278,0.378963,0,0.015951,keep
19,4,0.331118,0.00558841,0.425000,1,0.015645,zoom_out_to_2
20,2,0.397702,0.00567622,0.361250,2,0.016289,zoom_out_to_1
21,1,0.492165,0.00094780,0.115525,0,0.015313,cooldown_keep
22,1,0.482664,0.00068419,0.138770,0,0.015359,cooldown_keep
23,1,0.443353,0.00078809,0.262327,0,0.015358,cooldown_keep
24,1,0.416926,0.00081796,0.124094,0,0.015675,cooldown_keep
25,1,0.324884,0.00071864,0.425000,1,0.015441,keep
26,1,0.392791,0.00062227,0.361250,2,0.016813,keep
27,1,0.457104,0.00081264,0.150516,0,0.016899,zoom_in_to_2
28,2,0.356973,0.00047057,0.207320,0,0.018116,cooldown_keep
29,2,0.335664,0.00050339,0.188056,0,0.018135,cooldown_keep
30,2,0.313210,0.00054522,0.199256,0,0.017543,cooldown_keep
