frame,zoom_level,uncertainty,area,conf,lost,latency,command
1,1,0.000000,0.00021484,1.000000,0,0.000000,init
2,1,0.310424,0.00021484,0.425000,1,0.049873,keep
3,1,0.377333,0.00021484,0.361250,2,0.015855,keep
4,1,0.411783,0.00021484,0.307062,3,0.015030,keep
5,1,0.432816,0.00021484,0.261003,4,0.014358,keep
6,1,0.447660,0.00021484,0.221853,5,0.014331,keep
7,1,0.459160,0.00021484,0.188575,6,0.013891,keep
8,1,0.468525,0.00021484,0.160289,7,0.013860,keep
9,1,0.476334,0.00021484,0.136245,8,0.013538,keep
10,1,0.482917,0.00021484,0.115808,9,0.013427,keep
11,1,0.488491,0.00021484,0.098437,10,0.013191,keep
12,1,0.493222,0.00021484,0.083672,11,0.013078,keep
13,1,0.497240,0.00021484,0.071121,12,0.013018,keep
14,1,0.500655,0.00021484,0.060453,13,0.013040,keep
15,1,0.503557,0.00021484,0.051385,14,0.013528,keep
16,1,0.506023,0.00021484,0.043677,15,0.013015,keep
17,1,0.508120,0.00021484,0.037126,16,0.013525,keep
18,1,0.509902,0.00021484,0.031557,17,0.013897,keep
19,1,0.511417,0.00021484,0.026823,18,0.013424,keep
20,1,0.512704,0.00021484,0.022800,19,0.013674,keep
21,1,0.513798,0.00021484,0.019380,20,0.013898,keep
22,1,0.514729,0.00021484,0.016473,21,0.014444,keep
23,1,0.515519,0.00021484,0.014002,22,0.014923,keep
24,1,0.516191,0.00021484,0.011902,23,0.014266,keep
25,1,0.516763,0.00021484,0.010116,24,0.013866,keep
26,1,0.517248,0.00021484,0.008599,25,0.014321,keep
27,1,0.517661,0.00021484,0.007309,26,0.015142,keep
28,1,0.518012,0.00021484,0.006213,27,0.014971,keep
29,1,0.518310,0.00021484,0.005281,28,0.014771,keep
30,1,0.518564,0.00021484,0.004489,29,0.014581,keep
31,1,0.518779,0.00021484,0.003815,30,0.015221,keep
32,1,0.518962,0.00021484,0.003243,31,0.014054,keep
33,1,0.519118,0.00021484,0.002757,32,0.013879,keep
34,1,0.519250,0.00021484,0.002343,33,0.013309,keep
35,1,0.519363,0.00021484,0.001992,34,0.013082,keep
36,1,0.519458,0.00021484,0.001693,35,0.013578,keep
37,1,0.519540,0.00021484,0.001439,36,0.014177,keep
38,1,0.519609,0.00021484,0.001223,37,0.014625,keep
39,1,0.519667,0.00021484,0.001040,38,0.014446,keep
40,1,0.519717,0.00021484,0.000884,39,0.014239,keep
41,1,0.519760,0.00021484,0.000751,40,0.013964,keep
42,1,0.519796,0.00021484,0.000638,41,0.013867,keep
43,1,0.519826,0.00021484,0.000543,42,0.013838,keep
44,1,0.519852,0.00021484,0.000461,43,0.014117,keep
45,1,0.519875,0.00021484,0.000392,44,0.014050,keep
46,1,0.519893,0.00021484,0.000333,45,0.014471,keep
47,1,0.519909,0.00021484,0.000283,46,0.014389,keep
48,1,0.519923,0.00021484,0.000241,47,0.014696,keep
49,1,0.519935,0.00021484,0.000205,48,0.014480,keep
50,1,0.519944,0.00021484,0.000174,49,0.014442,keep
51,1,0.519953,0.00021484,0.000148,50,0.013722,keep
52,1,0.519960,0.00021484,0.000126,51,0.013808,keep
53,1,0.519966,0.00021484,0.000107,52,0.014117,keep
54,1,0.519971,0.00021484,0.000091,53,0.013825,keep
55,1,0.519975,0.00021484,0.000077,54,0.013541,keep
56,1,0.519979,0.00021484,0.000066,55,0.014085,keep
57,1,0.519982,0.00021484,0.000056,56,0.014110,keep
58,1,0.519985,0.00021484,0.000047,57,0.013900,keep
59,1,0.519987,0.00021484,0.000040,58,0.014145,keep
60,1,0.519989,0.00021484,0.000034,59,0.014499,keep
61,1,0.519991,0.00021484,0.000029,60,0.014130,keep
62,1,0.519992,0.00021484,0.000025,61,0.013866,keep
63,1,0.519993,0.00021484,0.000021,62,0.014739,keep
64,1,0.519994,0.00021484,0.000018,63,0.014103,keep
65,1,0.519995,0.00021484,0.000015,64,0.014142,keep
66,1,0.519996,0.00021484,0.000013,65,0.014190,keep
67,1,0.519996,0.00021484,0.000011,66,0.013960,keep
68,1,0.519997,0.00021484,0.000009,67,0.014495,keep
69,1,0.519997,0.00021484,0.000008,68,0.014472,keep
70,1,0.519998,0.00021484,0.000007,69,0.014568,keep
71,1,0.519998,0.00021484,0.000006,70,0.014375,keep
72,1,0.519998,0.00021484,0.000005,71,0.013943,keep
73,1,0.519999,0.00021484,0.000004,72,0.013963,keep
74,1,0.519999,0.00021484,0.000004,73,0.013677,keep
75,1,0.519999,0.00021484,0.000003,74,0.013627,keep
76,1,0.519999,0.00021484,0.000003,75,0.014125,keep
77,1,0.519999,0.00021484,0.000002,76,0.014160,keep
78,1,0.519999,0.00021484,0.000002,77,0.013927,keep
79,1,0.520000,0.00021484,0.000002,78,0.014194,keep
80,1,0.520000,0.00021484,0.000001,79,0.014013,keep
81,1,0.520000,0.00021484,0.000001,80,0.013982,keep
82,1,0.520000,0.00021484,0.000001,81,0.014134,keep
83,1,0.520000,0.00021484,0.000001,82,0.014022,keep
84,1,0.520000,0.00021484,0.000001,83,0.013814,keep
85,1,0.520000,0.00021484,0.000001,84,0.014033,keep
86,1,0.520000,0.00021484,0.000001,85,0.014162,keep
87,1,0.520000,0.00021484,0.000000,86,0.013883,keep
88,1,0.520000,0.00021484,0.000000,87,0.014118,keep
89,1,0.520000,0.00021484,0.000000,88,0.014382,keep
90,1,0.520000,0.00021484,0.000000,89,0.014133,keep
91,1,0.520000,0.00021484,0.000000,90,0.013820,keep
92,1,0.520000,0.00021484,0.000000,91,0.014027,keep
93,1,0.520000,0.00021484,0.000000,92,0.014036,keep
94,1,0.520000,0.00021484,0.000000,93,0.013664,keep
95,1,0.520000,0.00021484,0.000000,94,0.013939,keep
96,1,0.520000,0.00021484,0.000000,95,0.013520,keep
97,1,0.520000,0.00021484,0.000000,96,0.013565,keep
98,1,0.520000,0.00021484,0.000000,97,0.013744,keep
99,1,0.520000,0.00021484,0.000000,98,0.013735,keep
100,1,0.520000,0.00021484,0.000000,99,0.013684,keep
101,1,0.520000,0.00021484,0.000000,100,0.014035,keep
102,1,0.520000,0.00021484,0.000000,101,0.014675,keep
103,1,0.520000,0.00021484,0.000000,102,0.013948,keep
104,1,0.520000,0.00021484,0.000000,103,0.014257,keep
