frame,zoom_level,uncertainty,area,conf,lost,latency,command
1,1,0.000000,0.01190430,1.000000,0,0.000000,init
2,1,0.104440,0.01532687,0.810092,0,0.051272,zoom_in_to_2
3,2,0.071689,0.01532311,0.860142,0,0.018100,keep
4,2,0.092031,0.01430807,0.825479,0,0.016574,keep
5,2,0.072048,0.01289996,0.902906,0,0.016525,keep
6,2,0.089317,0.01312675,0.832311,0,0.015657,keep
7,2,0.109302,0.01371823,0.763820,0,0.015807,keep
8,2,0.074692,0.01420437,0.841416,0,0.015981,keep
9,2,0.059417,0.01491484,0.864566,0,0.015443,keep
10,2,0.070306,0.01486147,0.872643,0,0.015459,keep
11,2,0.088240,0.01409163,0.872553,0,0.015540,keep
12,2,0.090944,0.01499626,0.794725,0,0.015558,keep
13,2,0.102902,0.01704134,0.793398,0,0.016211,keep
14,2,0.220633,0.01757163,0.397163,0,0.015206,keep
15,2,0.253910,0.01672186,0.266274,0,0.015093,keep
16,2,0.102717,0.01509155,0.793573,0,0.015056,keep
17,2,0.272954,0.01326594,0.273434,0,0.015083,keep
18,2,0.200059,0.01315759,0.468763,0,0.015401,keep
19,2,0.252191,0.01385346,0.328069,0,0.015487,keep
20,2,0.250920,0.01446301,0.280172,0,0.015561,keep
21,2,0.091174,0.01466621,0.746846,0,0.015290,keep
22,2,0.100784,0.01462854,0.779951,0,0.016252,keep
23,2,0.319857,0.01394086,0.155735,0,0.015925,keep
24,2,0.123458,0.01497179,0.704222,0,0.015608,keep
25,2,0.416603,0.03222888,0.253796,0,0.015447,keep
26,2,0.279600,0.03847276,0.235496,0,0.015478,keep
27,2,0.288626,0.03862781,0.211168,0,0.015990,keep
28,2,0.305951,0.03619036,0.141308,0,0.015768,keep
29,2,0.184287,0.01743972,0.846080,0,0.015736,keep
30,2,0.220392,0.01326333,0.477029,0,0.016015,keep
31,2,0.130787,0.01355486,0.842422,0,0.015506,keep
32,2,0.137987,0.01326488,0.674189,0,0.015373,keep
33,2,0.104715,0.01439735,0.879561,0,0.015187,keep
34,2,0.146801,0.01388913,0.624101,0,0.015273,keep
35,2,0.187046,0.01319111,0.541922,0,0.015366,keep
36,2,0.256000,0.01461216,0.314806,0,0.015294,keep
37,2,0.184827,0.01604107,0.513244,0,0.015985,keep
38,2,0.265867,0.01590042,0.231492,0,0.016017,keep
39,2,0.096324,0.01504313,0.765716,0,0.015709,keep
40,2,0.060085,0.01385202,0.897422,0,0.015919,keep
41,2,0.055506,0.01363765,0.863746,0,0.016169,keep
42,2,0.132153,0.01415603,0.702866,0,0.015934,keep
43,2,0.206176,0.01491764,0.507378,0,0.016336,keep
44,2,0.121070,0.01553247,0.705047,0,0.015906,keep
45,2,0.129353,0.01573024,0.650452,0,0.016254,keep
46,2,0.079293,0.01522240,0.844445,0,0.015976,keep
47,2,0.272621,0.01448803,0.196337,0,0.016065,keep
48,2,0.084924,0.01586089,0.874987,0,0.016021,keep
49,2,0.107579,0.01764435,0.775389,0,0.015523,keep
50,2,0.087259,0.01740417,0.837984,0,0.015552,keep
51,2,0.084022,0.01615915,0.858237,0,0.015883,keep
52,2,0.072646,0.01517179,0.895380,0,0.015639,keep
53,2,0.070467,0.01477872,0.823259,0,0.015724,keep
54,2,0.115445,0.01524486,0.736684,0,0.016556,keep
55,2,0.088029,0.01575456,0.822306,0,0.015982,keep
56,2,0.062789,0.01636847,0.857534,0,0.015267,keep
57,2,0.060322,0.01668879,0.882136,0,0.015158,keep
58,2,0.076012,0.01593959,0.909656,0,0.015159,keep
59,2,0.065251,0.01501703,0.880657,0,0.015289,keep
60,2,0.148589,0.01609723,0.661366,0,0.015359,keep
61,2,0.088166,0.01743839,0.846936,0,0.015144,keep
62,2,0.152712,0.01775494,0.606821,0,0.015917,keep
63,2,0.057408,0.01672199,0.902377,0,0.015545,keep
64,2,0.064729,0.01560494,0.910912,0,0.015676,keep
65,2,0.058371,0.01553781,0.853938,0,0.015170,keep
66,2,0.087293,0.01621935,0.828735,0,0.015186,keep
67,2,0.062986,0.01681705,0.890780,0,0.015009,keep
68,2,0.047659,0.01719663,0.888958,0,0.015714,keep
69,2,0.058986,0.01728383,0.893111,0,0.016276,keep
70,2,0.076591,0.01628266,0.890829,0,0.015701,keep
71,2,0.067005,0.01586695,0.824330,0,0.015589,keep
72,2,0.068448,0.01743416,0.898172,0,0.015305,keep
73,2,0.068885,0.01852663,0.874416,0,0.015504,keep
74,2,0.044730,0.01875513,0.898341,0,0.015493,keep
