frame,zoom_level,uncertainty,area,conf,lost,latency,command
1,1,0.000000,0.21258681,1.000000,0,0.000000,init
2,1,0.146469,0.28403360,0.808568,0,0.046409,keep
3,1,0.146544,0.32043860,0.786580,0,0.016275,keep
4,1,0.140992,0.33782354,0.865937,0,0.014761,keep
5,1,0.159868,0.34488759,0.816328,0,0.014586,keep
6,1,0.170047,0.36043029,0.795330,0,0.014379,keep
7,1,0.182802,0.37473054,0.786573,0,0.015382,keep
8,1,0.175017,0.38684746,0.826213,0,0.014515,keep
9,1,0.188403,0.38603023,0.765406,0,0.014895,keep
10,1,0.188647,0.37894565,0.729213,0,0.014400,keep
11,1,0.190274,0.36814013,0.717391,0,0.013926,keep
12,1,0.168288,0.35734026,0.778837,0,0.013664,keep
13,1,0.151075,0.33953144,0.783981,0,0.013585,keep
14,1,0.116318,0.32963876,0.816312,0,0.013533,keep
15,1,0.095371,0.31868122,0.829700,0,0.013605,keep
16,1,0.082004,0.29088500,0.818119,0,0.013815,keep
17,1,0.064301,0.27173028,0.813201,0,0.013791,keep
18,1,0.067357,0.24909984,0.834004,0,0.013928,keep
19,1,0.072730,0.22983412,0.811770,0,0.013739,keep
20,1,0.073871,0.22072131,0.815961,0,0.013767,keep
21,1,0.062458,0.21367469,0.862179,0,0.013894,keep
22,1,0.057103,0.20488583,0.853388,0,0.014260,keep
23,1,0.051579,0.19730077,0.881191,0,0.014101,keep
24,1,0.061259,0.18600046,0.866255,0,0.015248,keep
25,1,0.063040,0.17655445,0.883107,0,0.014179,keep
26,1,0.077678,0.15831981,0.868951,0,0.014196,keep
27,1,0.056144,0.14940110,0.867812,0,0.013954,keep
28,1,0.087253,0.14687813,0.783037,0,0.014138,keep
29,1,0.070988,0.13376996,0.834096,0,0.013928,keep
30,1,0.081049,0.12351816,0.784837,0,0.013485,keep
31,1,0.074373,0.11275569,0.824797,0,0.013502,keep
32,1,0.099215,0.10654579,0.758662,0,0.013469,keep
33,1,0.080578,0.09993007,0.789060,0,0.013361,keep
34,1,0.074161,0.09370466,0.805167,0,0.013624,keep
35,1,0.059686,0.08755146,0.851649,0,0.013822,keep
36,1,0.070682,0.07795309,0.830405,0,0.014168,keep
37,1,0.074012,0.07165404,0.820770,0,0.014433,keep
38,1,0.154103,0.06704458,0.562265,0,0.013928,keep
39,1,0.112131,0.06300739,0.685926,0,0.013917,keep
40,1,0.131190,0.05592505,0.641672,0,0.015162,keep
41,1,0.103560,0.04983537,0.723915,0,0.013858,keep
42,1,0.127396,0.04648140,0.660344,0,0.015018,keep
43,1,0.175810,0.04317693,0.492320,0,0.014095,keep
44,1,0.181923,0.03857644,0.475321,0,0.014478,keep
45,1,0.247931,0.03343712,0.277576,0,0.014026,zoom_in_to_2
46,2,0.081251,0.03023157,0.819907,0,0.015103,keep
47,2,0.115192,0.02788776,0.702503,0,0.014858,keep
48,2,0.139300,0.02580465,0.667434,0,0.015139,keep
49,2,0.219018,0.02657379,0.420127,0,0.015007,keep
50,2,0.157921,0.02877845,0.609144,0,0.014801,keep
51,2,0.173474,0.03045677,0.564019,0,0.015354,keep
52,2,0.109337,0.03153900,0.705387,0,0.014670,keep
53,2,0.168045,0.03124621,0.535138,0,0.014712,keep
54,2,0.088011,0.03244418,0.777646,0,0.015211,keep
55,2,0.097463,0.03204222,0.748497,0,0.014750,keep
56,2,0.132284,0.03154157,0.647063,0,0.014943,keep
57,2,0.077824,0.03096662,0.801764,0,0.015939,keep
58,2,0.153002,0.03070766,0.558069,0,0.015364,keep
59,2,0.093346,0.02974002,0.758798,0,0.014860,keep
60,2,0.153500,0.02967686,0.566370,0,0.014815,keep
61,2,0.116031,0.03017678,0.711020,0,0.014883,keep
62,2,0.144876,0.03201257,0.643961,0,0.015076,keep
63,2,0.178698,0.02992372,0.558407,0,0.015087,keep
64,2,0.101299,0.02927089,0.721006,0,0.015054,keep
65,2,0.117871,0.02717910,0.696785,0,0.015409,keep
66,2,0.126197,0.02830440,0.729748,0,0.015194,keep
67,2,0.173532,0.02777324,0.553784,0,0.014793,keep
68,2,0.127145,0.02605027,0.661878,0,0.014447,keep
69,2,0.150547,0.02493194,0.578408,0,0.014538,keep
70,2,0.128474,0.02462219,0.660624,0,0.014452,keep
71,2,0.122777,0.02386677,0.695285,0,0.014695,keep
72,2,0.175499,0.02279770,0.523754,0,0.015284,keep
73,2,0.217430,0.02230283,0.374014,0,0.015031,keep
74,2,0.101562,0.02158179,0.722943,0,0.015000,keep
75,2,0.097310,0.02089185,0.736937,0,0.015082,keep
76,2,0.162392,0.02061156,0.555171,0,0.016206,keep
77,2,0.109430,0.02182439,0.786419,0,0.015948,keep
78,2,0.120865,0.02323664,0.695190,0,0.016021,keep
79,2,0.120879,0.02334489,0.658565,0,0.016329,keep
80,2,0.066379,0.02474599,0.829629,0,0.015844,keep
81,2,0.209114,0.02616866,0.369151,0,0.016392,keep
