frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.00705078,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.284105,0.00473599,0.520107,0,0.840472,keep,TRACKING,0.668453,0.238761,0.526401,0.000000,0.000000,0.238761,0.000000,0.000000,high,14,7,7,0.253489,0.000000,0.430398,0,0,0,,,,keep,0,,score_keep
3,1,0.244334,0.00443563,0.647475,0,0.022915,keep,TRACKING,0.778604,0.232508,0.556437,0.000000,0.000000,0.232508,0.000000,0.000000,high,13,7,6,0.348160,0.000000,0.644752,0,0,0,,,,keep,0,,score_keep
4,1,0.235843,0.00439139,0.663191,0,0.022782,keep,TRACKING,0.678782,0.251051,0.560861,0.000000,0.000000,0.251051,0.000000,0.000000,high,12,8,4,0.375299,0.000000,0.490362,0,0,0,,,,keep,0,,score_keep
5,1,0.166357,0.00406697,0.704249,0,0.022327,zoom_in_to_2,TRACKING,0.776482,0.155442,0.593303,0.000000,0.000000,0.155442,0.000000,0.000000,high,10,8,2,0.107149,0.000000,0.163176,5,0,0,,,,zoom_in_to_2,0,,score_zoom_in
6,2,0.264238,0.00506156,0.818594,0,0.023681,cooldown_keep,CAUTION,0.825963,1.120794,0.493844,0.000000,0.971771,0.149023,0.000000,0.000000,high,6,3,3,0.222884,0.000000,0.474798,4,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
7,2,0.217087,0.00584934,0.760614,0,0.023827,cooldown_keep,CAUTION,0.823610,1.052033,0.415066,0.000000,0.945301,0.106733,0.000000,0.000000,high,3,2,1,0.028885,0.000000,0.132592,3,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
8,2,0.201961,0.00602565,0.799132,0,0.022529,cooldown_keep,CAUTION,0.898415,1.078580,0.397435,0.000000,0.941138,0.137442,0.000000,0.000000,high,2,2,0,0.131284,0.000000,0.188956,2,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
9,2,0.199024,0.00684193,0.747806,0,0.021791,cooldown_keep,CAUTION,0.815319,1.021943,0.315807,0.000000,0.913942,0.108000,0.000000,0.000000,high,3,2,1,0.012182,0.000000,0.079042,1,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
10,2,0.178908,0.00759058,0.784591,0,0.023584,zoom_out_to_1,CAUTION,0.730396,0.987924,0.240942,0.000000,0.883653,0.104271,0.000000,0.000000,high,5,2,3,0.026808,0.000000,0.073578,5,0,0,,,,zoom_out_to_1,0,,blur_suppression
11,1,0.151433,0.00687689,0.724105,0,0.022152,cooldown_keep,TRACKING,0.788027,0.143398,0.312311,0.000000,0.000000,0.143398,0.000000,0.000000,high,14,7,7,0.107141,0.000000,0.194332,4,0,0,,,,cooldown_keep,0,,cooldown_score_zoom_in
12,1,0.135433,0.00682660,0.732261,0,0.021773,cooldown_keep,TRACKING,0.785056,0.146872,0.317340,0.000000,0.000000,0.146872,0.000000,0.000000,high,13,7,6,0.099714,0.000000,0.143980,3,0,0,,,,cooldown_keep,0,,cooldown_score_zoom_in
13,1,0.131688,0.00680812,0.694107,0,0.023868,cooldown_keep,TRACKING,0.785032,0.136306,0.319188,0.000000,0.000000,0.136306,0.000000,0.000000,high,14,6,8,0.045899,0.000000,0.080477,2,0,0,,,,cooldown_keep,0,,cooldown_score_zoom_in
14,1,0.165161,0.00603106,0.658208,0,0.022230,cooldown_keep,TRACKING,0.879475,0.168445,0.396894,0.000000,0.000000,0.168445,0.000000,0.000000,high,15,5,10,0.119172,0.000000,0.156022,1,0,0,,,,cooldown_keep,0,,cooldown_score_zoom_in
15,1,0.133113,0.00620347,0.677788,0,0.021171,zoom_in_to_2,TRACKING,0.846210,0.124695,0.379653,0.000000,0.000000,0.124695,0.000000,0.000000,high,18,8,10,0.009848,0.000000,0.068845,5,0,0,,,,zoom_in_to_2,0,,score_zoom_in
16,2,0.143199,0.00628583,0.854106,0,0.022104,cooldown_keep,CAUTION,0.843016,0.919635,0.371417,0.000000,0.853601,0.066034,0.000000,0.000000,high,4,2,2,-0.026591,0.000000,0.077606,4,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
17,2,0.135909,0.00651830,0.866375,0,0.021973,cooldown_keep,CAUTION,0.816125,0.924501,0.348170,0.000000,0.857361,0.067140,0.000000,0.000000,high,2,2,0,-0.012914,0.000000,0.062926,3,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
18,2,0.142962,0.00679218,0.857947,0,0.021830,cooldown_keep,CAUTION,0.792263,0.928614,0.320782,0.000000,0.848447,0.080167,0.000000,0.000000,high,2,2,0,0.012611,0.000000,0.067987,2,0,0,,,,cooldown_keep,0,,cooldown_blur_suppression
