frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.01324870,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.357993,0.01503682,0.360984,0,0.051969,keep,CAUTION,0.178997,1.198782,0.000000,0.000000,0.971192,0.227590,0.000000,0.000000,high,2,1,1,0.081739,0.000000,0.189145,0,0,0,,,,keep,0,,blur_suppression
3,1,0.350243,0.01433429,0.357564,0,0.020507,keep,CAUTION,0.175121,1.197339,0.000000,0.000000,0.964379,0.232960,0.000000,0.000000,high,1,1,0,0.082845,0.000000,0.149654,0,0,0,,,,keep,0,,blur_suppression
4,1,0.468452,0.01239710,0.117841,0,0.018728,keep,CAUTION,0.234226,1.475511,0.000000,0.000000,0.964037,0.511474,0.000000,0.000000,low,2,0,2,0.129463,0.000000,0.161975,0,0,0,,,,keep,0,,blur_suppression
5,1,0.437069,0.01097709,0.156952,0,0.017956,keep,CAUTION,0.218534,1.434914,0.000000,0.000000,0.962037,0.472877,0.000000,0.000000,low,2,0,2,0.045841,0.000000,0.078540,0,0,0,,,,keep,0,,blur_suppression
6,1,0.473036,0.01348897,0.165216,0,0.017423,keep,CAUTION,0.236518,1.481632,0.000000,0.000000,0.951353,0.530279,0.000000,0.000000,low,3,0,3,0.219252,0.000000,0.268127,0,0,0,,,,keep,0,,blur_suppression
7,1,0.258658,0.01392785,0.536695,0,0.017792,keep,CAUTION,0.129329,1.097393,0.000000,0.000000,0.948413,0.148979,0.000000,0.000000,high,2,1,1,-0.028064,0.000000,0.023058,0,0,0,,,,keep,0,,blur_suppression
8,1,0.428712,0.01387395,0.144404,0,0.018395,keep,CAUTION,0.214356,1.415204,0.000000,0.000000,0.942724,0.472480,0.000000,0.000000,low,2,0,2,0.031998,0.000000,0.049655,0,0,0,,,,keep,0,,blur_suppression
9,1,0.428651,0.01349195,0.158359,0,0.018461,keep,CAUTION,0.214325,1.424026,0.000000,0.000000,0.935148,0.488878,0.000000,0.000000,low,3,0,3,0.086676,0.000000,0.088324,0,0,0,,,,keep,0,,blur_suppression
10,1,0.450653,0.01252581,0.105199,0,0.018385,keep,CAUTION,0.225327,1.420852,0.000000,0.000000,0.926031,0.494822,0.000000,0.000000,low,3,1,2,0.066678,0.000000,0.081849,0,0,0,,,,keep,0,,blur_suppression
11,1,0.319654,0.01329984,0.405443,0,0.019989,keep,CAUTION,0.159827,1.134763,0.000000,0.000000,0.924194,0.210569,0.000000,0.000000,high,3,1,2,0.053530,0.000000,0.088491,0,0,0,,,,keep,0,,blur_suppression
