frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.01815430,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.395486,0.01800739,0.130587,0,0.054108,keep,CAUTION,0.197743,0.920914,0.000000,0.000000,0.000000,0.920914,0.000000,0.000000,low,8,1,7,0.025154,0.989937,0.024893,0,0,0,,,,keep,0,,caution_zoom_out
3,1,0.397311,0.01848080,0.100289,0,0.024372,keep,CAUTION,0.198655,0.855192,0.000000,0.000000,0.000000,0.855192,0.000000,0.000000,low,7,0,7,0.015204,0.835249,0.022268,0,0,0,,,,keep,0,,caution_zoom_out
4,1,0.371385,0.01871463,0.192348,0,0.023934,keep,CAUTION,0.185693,0.886363,0.000000,0.000000,0.000000,0.886363,0.000000,0.000000,low,7,2,5,0.022505,0.950367,0.027173,0,0,0,,,,keep,0,,caution_zoom_out
5,1,0.431670,0.01895065,0.425000,1,0.023314,keep,CAUTION,0.215835,1.250000,0.000000,0.000000,0.000000,1.000000,0.250000,0.000000,predict_only,4,2,2,-1.000000,1.000000,1.000000,0,0,0,,,,keep,0,,lost_zoom_out
6,1,0.419420,0.01757551,0.111284,0,0.022247,keep,CAUTION,0.209710,0.939775,0.000000,0.000000,0.000000,0.939775,0.000000,0.000000,low,4,2,2,0.074822,0.982744,0.083552,0,0,0,,,,keep,0,,caution_zoom_out
7,1,0.432996,0.01719444,0.425000,1,0.021790,keep,RECOVERY,0.216498,1.250000,0.000000,0.000000,0.000000,1.000000,0.250000,0.000000,predict_only,5,2,3,-1.000000,1.000000,1.000000,0,0,0,,,,keep,0,,recovery_zoom_out
8,1,0.404080,0.01691435,0.112684,0,0.022261,keep,RECOVERY,0.202040,0.917483,0.000000,0.000000,0.000000,0.917483,0.000000,0.000000,low,8,1,7,0.021452,0.976721,0.031176,0,0,0,,,,keep,0,,recovery_zoom_out
9,1,0.356543,0.01622827,0.243197,0,0.021751,keep,RECOVERY,0.178271,0.867499,0.000000,0.000000,0.000000,0.867499,0.000000,0.000000,low,5,0,5,0.007947,0.953137,0.030586,0,0,0,,,,keep,0,,recovery_zoom_out
10,1,0.274342,0.01651869,0.338381,0,0.022133,keep,RECOVERY,0.137171,0.413825,0.000000,0.000000,0.000000,0.413825,0.000000,0.000000,low,7,0,7,0.009894,0.000000,0.039470,0,0,0,,,,keep,0,,recovery_zoom_out
11,1,0.218083,0.01635680,0.427389,0,0.020794,keep,RECOVERY,0.109041,0.192036,0.000000,0.000000,0.000000,0.192036,0.000000,0.000000,high,5,1,4,0.010665,0.000000,0.054221,0,0,0,,,,keep,0,,recovery_zoom_out
12,1,0.235214,0.01568777,0.375067,0,0.020000,keep,RECOVERY,0.117607,0.203774,0.000000,0.000000,0.000000,0.203774,0.000000,0.000000,high,4,1,3,0.006665,0.000000,0.044972,0,0,0,,,,keep,0,,recovery_zoom_out
