frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.01190430,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.174653,0.01532687,0.810092,0,0.052737,keep,CAUTION,0.087326,0.819464,0.000000,0.000000,0.703071,0.116393,0.000000,0.000000,high,2,2,0,0.089955,0.000000,0.169125,0,0,0,,,,keep,0,,blur_suppression
3,1,0.159182,0.01555023,0.802080,0,0.021312,keep,CAUTION,0.179591,0.804838,0.000000,0.000000,0.698544,0.106294,0.000000,0.000000,high,2,2,0,0.054504,0.000000,0.122090,0,0,0,,,,keep,0,,caution_zoom_out
4,1,0.219017,0.01436143,0.659314,0,0.022187,keep,TRACKING,0.309508,0.840411,0.000000,0.000000,0.687888,0.152523,0.000000,0.000000,high,2,1,1,0.081327,0.000000,0.154094,0,0,0,,,,keep,0,,score_zoom_out
5,1,0.164135,0.01313638,0.815970,0,0.021005,keep,TRACKING,0.382067,0.783571,0.000000,0.000000,0.682403,0.101168,0.000000,0.000000,high,2,2,0,0.050546,0.000000,0.145760,0,0,0,,,,keep,0,,score_zoom_out
6,1,0.296471,0.01316544,0.420399,0,0.020965,keep,TRACKING,0.548236,0.890455,0.000000,0.000000,0.682666,0.207789,0.000000,0.000000,high,2,1,1,0.053600,0.000000,0.121959,0,0,0,,,,keep,0,,score_zoom_out
7,1,0.323311,0.01383714,0.354586,0,0.020599,keep,TRACKING,0.161655,0.902673,0.000000,0.000000,0.673568,0.229105,0.000000,0.000000,high,2,1,1,0.070328,0.000000,0.130129,0,0,0,,,,keep,0,,score_zoom_out
8,1,0.348348,0.01481175,0.334764,0,0.020540,keep,TRACKING,0.174174,1.096288,0.000000,0.000000,0.673519,0.422769,0.000000,0.000000,low,2,0,2,0.038920,0.000000,0.098163,0,0,0,,,,keep,0,,score_zoom_out
9,1,0.139054,0.01522671,0.813689,0,0.020388,keep,TRACKING,0.069527,0.743901,0.000000,0.000000,0.672705,0.071197,0.000000,0.000000,high,2,2,0,-0.037026,0.000000,0.049775,0,0,0,,,,keep,0,,score_zoom_out
10,1,0.230694,0.01503800,0.582747,0,0.019981,keep,TRACKING,0.215347,0.826857,0.000000,0.000000,0.679203,0.147654,0.000000,0.000000,high,1,1,0,0.010218,0.000000,0.095754,0,0,0,,,,keep,0,,score_zoom_out
11,1,0.323899,0.01445651,0.388743,0,0.021085,keep,TRACKING,0.361950,0.919926,0.000000,0.000000,0.691009,0.228917,0.000000,0.000000,high,2,1,1,0.092883,0.000000,0.184046,0,0,0,,,,keep,0,,score_zoom_out
