frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.21258681,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.167127,0.28403360,0.808568,0,0.054123,keep,TRACKING,0.083564,1.461849,0.000000,0.265713,0.071944,0.124192,0.000000,1.000000,high,1,1,0,0.109125,0.000000,0.209402,0,0,0,,,,keep,0,,overzoom_suppression
3,1,0.166273,0.32043860,0.786580,0,0.021479,keep,TRACKING,0.183136,1.665414,0.000000,0.467492,0.100557,0.097366,0.000000,1.000000,high,2,1,1,0.015595,0.000000,0.083512,0,0,0,,,,keep,0,,overzoom_suppression
4,1,0.163179,0.33782354,0.865937,0,0.020662,keep,TRACKING,0.281590,1.888415,0.000000,0.645697,0.173471,0.069247,0.000000,1.000000,high,2,2,0,-0.004423,0.000000,0.082225,0,0,0,,,,keep,0,,overzoom_suppression
5,1,0.182887,0.34488759,0.816328,0,0.020591,keep,CAUTION,0.391444,1.990341,0.000000,0.742013,0.169492,0.078836,0.000000,1.000000,high,3,1,2,-0.019184,0.000000,0.047132,0,0,0,,,,keep,0,,edge_suppression
6,1,0.193679,0.36043029,0.795330,0,0.020500,keep,CAUTION,0.496839,2.075405,0.000000,0.814612,0.191594,0.069199,0.000000,1.000000,high,2,2,0,-0.058004,0.000000,0.017528,0,0,0,,,,keep,0,,edge_suppression
7,1,0.208187,0.37473054,0.786573,0,0.020643,keep,CAUTION,0.504093,2.121287,0.000000,0.845012,0.194223,0.082051,0.000000,1.000000,high,7,1,6,-0.030300,0.000000,0.044496,0,0,0,,,,keep,0,,edge_suppression
8,1,0.195022,0.38684746,0.826213,0,0.020520,keep,CAUTION,0.497511,2.078712,0.000000,0.863484,0.145577,0.069651,0.000000,1.000000,high,4,2,2,-0.033135,0.000000,0.048932,0,0,0,,,,keep,0,,edge_suppression
9,1,0.206726,0.38603023,0.765406,0,0.019462,keep,CAUTION,0.503363,1.977563,0.000000,0.795268,0.088813,0.093483,0.000000,1.000000,high,6,1,5,-0.011988,0.000000,0.051521,0,0,0,,,,keep,0,,edge_suppression
10,1,0.202997,0.37894565,0.729213,0,0.019149,keep,CAUTION,0.501498,1.884372,0.000000,0.752338,0.037351,0.094683,0.000000,1.000000,high,6,3,3,-0.037158,0.000000,0.037409,0,0,0,,,,keep,0,,edge_suppression
