frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.00705078,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.284105,0.00473599,0.520107,0,0.844628,zoom_in_to_2,TRACKING,1.000000,0.000000,0.526401,0.000000,0.000000,0.238761,0.000000,0.000000,high,14,7,7,0.253489,0.000000,0.430398,4,0,0,low,none,zoom_in_to_2,zoom_in_to_2,0,none,follow_v1_policy
3,2,0.284128,0.00487444,0.793714,0,0.025063,keep,TRACKING,1.000000,0.000000,0.512556,0.000000,0.959923,0.200168,0.000000,0.000000,high,13,5,8,0.382619,0.000000,0.766046,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
4,2,0.270688,0.00441982,0.742871,0,0.025446,keep,TRACKING,1.000000,0.000000,0.558018,0.000000,0.968995,0.216107,0.000000,0.000000,high,6,3,3,0.309621,0.000000,0.377335,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
5,2,0.213130,0.00469751,0.837245,0,0.023894,keep,TRACKING,1.000000,0.000000,0.530249,0.000000,0.972500,0.129020,0.000000,0.000000,high,6,5,1,0.151755,0.000000,0.261476,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
6,2,0.234457,0.00554286,0.752477,0,0.024216,keep,TRACKING,1.000000,0.000000,0.445714,0.000000,0.962945,0.128825,0.000000,0.000000,high,7,3,4,0.089421,0.000000,0.202551,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
7,2,0.176861,0.00601598,0.789766,0,0.023973,keep,TRACKING,1.000000,0.000000,0.398402,0.000000,0.957708,0.072832,0.000000,0.000000,high,3,2,1,-0.051729,0.000000,0.023264,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
8,2,0.185505,0.00589350,0.827886,0,0.021325,keep,TRACKING,1.000000,0.000000,0.410650,0.000000,0.956778,0.109373,0.000000,0.000000,high,3,2,1,0.078982,0.000000,0.152294,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
9,2,0.198667,0.00674358,0.770688,0,0.020766,keep,TRACKING,1.000000,0.000000,0.325642,0.000000,0.918787,0.109071,0.000000,0.000000,high,3,2,1,0.032840,0.000000,0.111594,0,0,0,hard,hard_blur,zoom_in_to_4,keep,1,hard_blur,hard_blur_veto
10,2,0.178716,0.00757757,0.788454,0,0.020434,zoom_in_to_4,TRACKING,1.000000,0.000000,0.242243,0.000000,0.881848,0.097774,0.000000,0.000000,high,4,2,2,0.013441,0.000000,0.077978,4,0,0,low,none,zoom_in_to_4,zoom_in_to_4,0,none,follow_v1_policy
