frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.01324870,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.357993,0.01503682,0.360984,0,0.056428,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.971192,0.227590,0.000000,0.000000,high,2,1,1,0.081739,0.000000,0.189145,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
3,1,0.350243,0.01433429,0.357564,0,0.019704,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.964379,0.232960,0.000000,0.000000,high,1,1,0,0.082845,0.000000,0.149654,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
4,1,0.468452,0.01239710,0.117841,0,0.018742,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.964037,0.511474,0.000000,0.000000,low,2,0,2,0.129463,0.000000,0.161975,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
5,1,0.437069,0.01097709,0.156952,0,0.018101,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.962037,0.472877,0.000000,0.000000,low,2,0,2,0.045841,0.000000,0.078540,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
6,1,0.473036,0.01348897,0.165216,0,0.018795,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.951353,0.530279,0.000000,0.000000,low,3,0,3,0.219252,0.000000,0.268127,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
7,1,0.258658,0.01392785,0.536695,0,0.018797,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.948413,0.148979,0.000000,0.000000,high,2,1,1,-0.028064,0.000000,0.023058,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
8,1,0.428712,0.01387395,0.144404,0,0.019063,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.942724,0.472480,0.000000,0.000000,low,2,0,2,0.031998,0.000000,0.049655,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
9,1,0.428651,0.01349195,0.158359,0,0.018822,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.935148,0.488878,0.000000,0.000000,low,3,0,3,0.086676,0.000000,0.088324,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
10,1,0.450653,0.01252581,0.105199,0,0.019215,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.926031,0.494822,0.000000,0.000000,low,3,1,2,0.066678,0.000000,0.081849,0,0,0,hard,hard_blur,zoom_in_to_2,keep,1,hard_blur,hard_blur_veto
