frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.00349935,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.430424,0.00349935,0.425000,1,0.062608,keep,TRACKING,0.000000,0.000000,0.650065,0.000000,0.000000,1.000000,0.250000,0.000000,predict_only,6,0,6,-1.000000,1.000000,1.000000,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
3,1,0.497333,0.00349935,0.361250,2,0.023453,keep,RECOVERY,0.000000,1.000000,0.650065,0.000000,0.000000,1.000000,0.500000,0.000000,predict_only,6,0,6,-1.000000,1.000000,2.000000,0,0,0,hard,lost_recovery,keep,keep,1,lost_recovery,lost_recovery_veto
4,1,0.531783,0.00349935,0.307062,3,0.021741,keep,RECOVERY,0.000000,1.000000,0.650065,0.000000,0.000000,1.000000,0.750000,0.000000,predict_only,4,0,4,-1.000000,1.000000,3.000000,0,0,0,hard,lost_recovery,keep,keep,1,lost_recovery,lost_recovery_veto
5,1,0.552816,0.00349935,0.261003,4,0.021334,keep,RECOVERY,0.000000,1.000000,0.650065,0.000000,0.000000,1.000000,1.000000,0.000000,predict_only,2,0,2,-1.000000,1.000000,4.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
6,1,0.567660,0.00349935,0.221853,5,0.020985,keep,RECOVERY,0.000000,1.000000,0.650065,0.000000,0.000000,1.000000,1.000000,0.000000,predict_only,5,0,5,-1.000000,1.000000,5.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
7,1,0.579160,0.00349935,0.188575,6,0.020591,keep,RECOVERY,0.000000,1.000000,0.650065,0.000000,0.000000,1.000000,1.000000,0.000000,predict_only,9,0,9,-1.000000,1.000000,6.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
8,1,0.588525,0.00349935,0.160289,7,0.020681,keep,RECOVERY,0.000000,1.000000,0.650065,0.000000,0.000000,1.000000,1.000000,0.000000,predict_only,5,0,5,-1.000000,1.000000,7.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
9,1,0.573809,0.00432379,0.126372,0,0.021400,zoom_in_to_2,TRACKING,1.000000,0.000000,0.567621,0.000000,0.000000,0.668597,0.000000,0.000000,low,4,0,4,0.685550,0.000000,1.050713,4,0,0,low,none,zoom_in_to_2,zoom_in_to_2,0,none,follow_v1_policy
10,2,0.317211,0.00508531,0.295321,0,0.023083,cooldown_keep,TRACKING,1.000000,0.000000,0.491469,0.000000,0.000000,0.464127,0.000000,0.000000,low,12,2,10,0.123820,0.000000,0.141036,3,0,0,low,none,zoom_in_to_4,cooldown_keep,0,cooldown,cooldown_follow_v1_policy
11,2,0.238307,0.00509186,0.419896,0,0.022386,cooldown_keep,TRACKING,1.000000,0.000000,0.490814,0.000000,0.094645,0.201542,0.000000,0.000000,high,8,1,7,0.036960,0.000000,0.082839,2,0,0,low,none,zoom_in_to_4,cooldown_keep,0,cooldown,cooldown_follow_v1_policy
12,2,0.335323,0.00536407,0.211521,0,0.021722,cooldown_keep,TRACKING,1.000000,0.000000,0.463593,0.000000,0.186912,0.454508,0.000000,0.000000,low,9,0,9,0.025451,0.000000,0.032896,1,0,0,low,none,zoom_in_to_4,cooldown_keep,0,cooldown,cooldown_follow_v1_policy
13,2,0.330351,0.00510353,0.222936,0,0.021198,zoom_in_to_4,TRACKING,1.000000,0.000000,0.489647,0.000000,0.087702,0.462093,0.000000,0.000000,low,6,0,6,0.055927,0.000000,0.064030,4,0,0,low,none,zoom_in_to_4,zoom_in_to_4,0,none,follow_v1_policy
14,4,0.515966,0.00510206,0.425000,1,0.020566,keep,TRACKING,0.000000,1.000000,0.489794,0.000000,1.000000,1.000000,0.250000,0.000000,predict_only,5,0,5,-1.000000,1.000000,1.000000,0,0,0,hard,hold_after_zoom_in,zoom_out_to_2,keep,1,hold_after_zoom_in,hold_keep
15,4,0.582878,0.00509985,0.361250,2,0.020977,zoom_out_to_2,RECOVERY,0.000000,1.000000,0.490015,0.000000,1.000000,1.000000,0.500000,0.000000,predict_only,3,0,3,-1.000000,1.000000,2.000000,4,0,0,hard,lost_recovery,zoom_out_to_2,zoom_out_to_2,1,lost_recovery,lost_recovery_veto
16,2,0.537330,0.00509690,0.307062,3,0.021734,zoom_out_to_1,RECOVERY,0.000000,1.000000,0.490310,0.000000,0.000000,1.000000,0.750000,0.000000,predict_only,7,0,7,-1.000000,1.000000,3.000000,4,0,0,hard,lost_recovery,zoom_out_to_1,zoom_out_to_1,1,lost_recovery,lost_recovery_veto
17,1,0.558367,0.00509323,0.261003,4,0.020207,keep,RECOVERY,0.000000,1.000000,0.490677,0.000000,0.000000,1.000000,1.000000,0.000000,predict_only,4,0,4,-1.000000,1.000000,4.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
18,1,0.380668,0.00528955,0.149032,0,0.021715,keep,TRACKING,1.000000,0.000000,0.471045,0.000000,0.000000,0.506523,0.000000,0.000000,low,5,0,5,0.114124,0.000000,0.168494,0,0,0,low,hold_after_zoom_out,zoom_in_to_2,keep,1,hold_after_zoom_out,hold_keep
19,1,0.437108,0.00532483,0.425000,1,0.021250,keep,TRACKING,0.000000,0.000000,0.467517,0.000000,0.000000,1.000000,0.250000,0.000000,predict_only,8,0,8,-1.000000,1.000000,1.000000,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
20,1,0.503987,0.00535771,0.361250,2,0.021422,keep,RECOVERY,0.000000,1.000000,0.464229,0.000000,0.000000,1.000000,0.500000,0.000000,predict_only,7,0,7,-1.000000,1.000000,2.000000,0,0,0,hard,lost_recovery,keep,keep,1,lost_recovery,lost_recovery_veto
21,1,0.381527,0.00495424,0.110745,0,0.021409,zoom_in_to_2,TRACKING,1.000000,0.000000,0.504576,0.000000,0.000000,0.498529,0.000000,0.000000,low,6,0,6,0.084411,0.000000,0.122617,4,0,0,low,none,zoom_in_to_2,zoom_in_to_2,0,none,follow_v1_policy
22,2,0.264942,0.00559079,0.383665,0,0.022761,cooldown_keep,TRACKING,1.000000,0.000000,0.440921,0.000000,0.096667,0.233646,0.000000,0.000000,high,6,2,4,0.100778,0.000000,0.120229,3,0,0,low,none,zoom_in_to_4,cooldown_keep,0,cooldown,cooldown_follow_v1_policy
23,2,0.305039,0.00565695,0.293921,0,0.022277,cooldown_keep,TRACKING,1.000000,0.000000,0.434305,0.000000,0.135233,0.434488,0.000000,0.000000,low,10,0,10,0.032554,0.000000,0.059921,2,0,0,low,none,zoom_in_to_4,cooldown_keep,0,cooldown,cooldown_follow_v1_policy
24,2,0.302016,0.00575761,0.290016,0,0.023062,cooldown_keep,TRACKING,1.000000,0.000000,0.424239,0.000000,0.086134,0.432738,0.000000,0.000000,low,7,0,7,0.024747,0.000000,0.041396,1,0,0,low,none,zoom_in_to_4,cooldown_keep,0,cooldown,cooldown_follow_v1_policy
25,2,0.304129,0.00600201,0.269260,0,0.022597,zoom_in_to_4,TRACKING,1.000000,0.000000,0.399799,0.000000,0.081885,0.430001,0.000000,0.000000,low,10,0,10,0.001659,0.000000,0.023878,4,0,0,low,none,zoom_in_to_4,zoom_in_to_4,0,none,follow_v1_policy
26,4,0.465136,0.00513155,0.114358,0,0.021548,keep,TRACKING,0.000000,0.000000,0.486845,0.000000,1.000000,0.519563,0.000000,0.000000,low,11,1,10,0.144602,0.000000,0.150726,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
27,4,0.409686,0.00525980,0.237748,0,0.020600,keep,TRACKING,0.000000,0.000000,0.474020,0.000000,1.000000,0.475304,0.000000,0.000000,low,7,0,7,0.105892,0.000000,0.113910,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
28,4,0.516977,0.00515689,0.425000,1,0.020429,keep,TRACKING,0.000000,1.000000,0.484311,0.000000,1.000000,1.000000,0.250000,0.000000,predict_only,8,0,8,-1.000000,1.000000,1.000000,0,0,0,hard,hold_after_zoom_in,zoom_out_to_2,keep,1,hold_after_zoom_in,hold_keep
29,4,0.433691,0.00542490,0.124922,0,0.021829,keep,TRACKING,0.000000,0.000000,0.457510,0.000000,1.000000,0.482319,0.000000,0.000000,low,8,0,8,0.041762,0.000000,0.039057,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
30,4,0.516974,0.00546462,0.425000,1,0.022339,zoom_out_to_2,TRACKING,0.000000,1.000000,0.453538,0.000000,1.000000,1.000000,0.250000,0.000000,predict_only,7,0,7,-1.000000,1.000000,1.000000,4,0,0,hard,none,zoom_out_to_2,zoom_out_to_2,0,none,follow_v1_policy
31,2,0.427778,0.00569382,0.123350,0,0.022913,keep,TRACKING,1.000000,0.000000,0.430618,0.000000,0.000000,0.937215,0.000000,0.000000,low,19,3,16,0.101577,0.961023,0.114497,0,0,0,hard,hard_association,zoom_in_to_4,keep,1,hard_association,hard_assoc_veto
32,2,0.281400,0.00577410,0.319045,0,0.022726,keep,TRACKING,1.000000,0.000000,0.422590,0.000000,0.000000,0.419150,0.000000,0.000000,low,7,0,7,0.007228,0.000000,0.029776,0,0,0,low,hold_after_zoom_out,zoom_in_to_4,keep,1,hold_after_zoom_out,hold_keep
33,2,0.418309,0.00598163,0.107466,0,0.022099,keep,TRACKING,1.000000,0.000000,0.401837,0.000000,0.106411,0.913328,0.000000,0.000000,low,16,0,16,0.035686,0.953013,0.039965,0,0,0,hard,hard_association,zoom_in_to_4,keep,1,hard_association,hard_assoc_veto
34,2,0.337921,0.00623225,0.168150,0,0.022800,zoom_in_to_4,TRACKING,1.000000,0.000000,0.376775,0.000000,0.000000,0.468382,0.000000,0.000000,low,12,1,11,0.032881,0.000000,0.036547,4,0,0,low,none,zoom_in_to_4,zoom_in_to_4,0,none,follow_v1_policy
35,4,0.700724,0.01566225,0.127863,0,0.021696,keep,TRACKING,0.000000,1.000000,0.000000,0.000000,1.000000,0.627979,0.000000,0.000000,low,6,0,6,0.646356,0.000000,1.570001,0,0,0,hard,hold_after_zoom_in,zoom_out_to_2,keep,1,hold_after_zoom_in,hold_keep
36,4,0.545366,0.02190923,0.425000,1,0.022014,keep,TRACKING,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.250000,0.000000,predict_only,2,0,2,-1.000000,1.000000,1.000000,0,0,0,hard,hold_after_zoom_in,zoom_out_to_2,keep,1,hold_after_zoom_in,hold_keep
37,4,0.709255,0.02915008,0.361250,2,0.022309,zoom_out_to_2,RECOVERY,0.000000,1.000000,0.000000,0.855110,1.000000,1.000000,0.500000,0.000000,predict_only,10,0,10,-1.000000,1.000000,2.000000,4,0,0,hard,lost_recovery,zoom_out_to_2,zoom_out_to_2,1,lost_recovery,lost_recovery_veto
38,2,0.658408,0.03261942,0.307062,3,0.022593,zoom_out_to_1,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.750000,0.000000,predict_only,8,1,7,-1.000000,1.000000,3.000000,4,0,0,hard,lost_recovery,zoom_out_to_1,zoom_out_to_1,1,lost_recovery,lost_recovery_veto
39,1,0.678272,0.03509491,0.261003,4,0.020444,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,predict_only,8,1,7,-1.000000,1.000000,4.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
40,1,0.693000,0.03744026,0.221853,5,0.020430,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,predict_only,9,1,8,-1.000000,1.000000,5.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
41,1,0.704397,0.03965549,0.188575,6,0.021225,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,predict_only,10,1,9,-1.000000,1.000000,6.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
42,1,0.713669,0.04174058,0.160289,7,0.021143,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,9,0,9,-1.000000,1.000000,7.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
43,1,0.721393,0.04369555,0.136245,8,0.020947,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,7,0,7,-1.000000,1.000000,8.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
44,1,0.727897,0.04552039,0.115808,9,0.021155,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,6,0,6,-1.000000,1.000000,9.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
45,1,0.733399,0.04721510,0.098437,10,0.021358,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,11,0,11,-1.000000,1.000000,10.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
46,1,0.738063,0.04877968,0.083672,11,0.021510,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,13,0,13,-1.000000,1.000000,11.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
47,1,0.742020,0.05021412,0.071121,12,0.021418,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,12,1,11,-1.000000,1.000000,12.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
48,1,0.745377,0.05151844,0.060453,13,0.021128,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,8,2,6,-1.000000,1.000000,13.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
49,1,0.748225,0.05269263,0.051385,14,0.021586,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,6,0,6,-1.000000,1.000000,14.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
50,1,0.750641,0.05373670,0.043677,15,0.021954,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,6,2,4,-1.000000,1.000000,15.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
51,1,0.752691,0.05465063,0.037126,16,0.020938,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,6,0,6,-1.000000,1.000000,16.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
52,1,0.754429,0.05543443,0.031557,17,0.020470,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,4,1,3,-1.000000,1.000000,17.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
53,1,0.755903,0.05608810,0.026823,18,0.020533,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,12,1,11,-1.000000,1.000000,18.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
54,1,0.757153,0.05661164,0.022800,19,0.021124,keep,RECOVERY,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,predict_only,8,1,7,-1.000000,1.000000,19.000000,0,0,0,hard,lost_force_wide,keep,keep,1,lost_force_wide,lost_force_wide_veto
