frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.01815430,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.395486,0.01800739,0.130587,0,0.058368,keep,TRACKING,1.000000,0.000000,0.000000,0.000000,0.000000,0.920914,0.000000,0.000000,low,8,1,7,0.025154,0.989937,0.024893,0,0,0,hard,hard_association,zoom_in_to_2,keep,1,hard_association,hard_assoc_veto
3,1,0.397311,0.01848080,0.100289,0,0.023385,zoom_in_to_2,TRACKING,1.000000,0.000000,0.000000,0.000000,0.000000,0.855192,0.000000,0.000000,low,7,0,7,0.015204,0.835249,0.022268,4,0,0,low,none,zoom_in_to_2,zoom_in_to_2,0,none,follow_v1_policy
4,2,0.230006,0.01735562,0.564811,0,0.023389,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.635276,0.154806,0.000000,0.000000,high,7,2,5,0.016088,0.000000,0.086151,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
5,2,0.177476,0.01543808,0.786318,0,0.023107,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.725225,0.097584,0.000000,0.000000,high,2,1,1,0.027318,0.000000,0.149777,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
6,2,0.264372,0.01628543,0.549566,0,0.022366,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.739372,0.172991,0.000000,0.000000,high,2,1,1,0.067856,0.000000,0.193691,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
7,2,0.242149,0.01630785,0.510240,0,0.022643,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.697800,0.164262,0.000000,0.000000,high,6,1,5,-0.005003,0.000000,0.043000,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
8,2,0.212172,0.01621396,0.588007,0,0.022906,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.718499,0.135518,0.000000,0.000000,high,4,1,3,-0.028655,0.000000,0.023660,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
9,2,0.241525,0.01610504,0.512087,0,0.021440,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.737649,0.155380,0.000000,0.000000,high,3,1,2,-0.028089,0.000000,0.027031,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
10,2,0.270518,0.01527685,0.442993,0,0.021316,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.726724,0.183743,0.000000,0.000000,high,4,1,3,0.002314,0.000000,0.041521,0,0,0,low,none,keep,keep,0,none,follow_v1_policy
