frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.01190430,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.174653,0.01532687,0.810092,0,0.055301,zoom_in_to_2,TRACKING,1.000000,0.000000,0.000000,0.000000,0.703071,0.116393,0.000000,0.000000,high,2,2,0,0.089955,0.000000,0.169125,4,0,0,low,none,zoom_in_to_2,zoom_in_to_2,0,none,follow_v1_policy
3,2,0.163736,0.01554311,0.852074,0,0.022965,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.091380,0.000000,0.000000,high,2,1,1,0.048080,0.000000,0.117810,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
4,2,0.188249,0.01441747,0.813012,0,0.022024,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.104901,0.000000,0.000000,high,2,1,1,0.063099,0.000000,0.152240,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
5,2,0.170758,0.01303963,0.874848,0,0.021851,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.089579,0.000000,0.000000,high,2,1,1,0.059286,0.000000,0.151900,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
6,2,0.186181,0.01331697,0.816032,0,0.021049,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.103716,0.000000,0.000000,high,2,1,1,0.054428,0.000000,0.137335,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
7,2,0.249249,0.01407447,0.633591,0,0.021906,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.138813,0.000000,0.000000,high,2,2,0,0.026290,0.000000,0.127888,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
8,2,0.159477,0.01462648,0.854541,0,0.021122,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.061252,0.000000,0.000000,high,3,1,2,-0.032603,0.000000,0.074136,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
9,2,0.136684,0.01489111,0.884805,0,0.021033,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.048336,0.000000,0.000000,high,2,1,1,-0.050724,0.000000,0.030061,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
10,2,0.194753,0.01473602,0.763814,0,0.021710,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.102012,0.000000,0.000000,high,3,1,2,0.015201,0.000000,0.110001,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
11,2,0.325683,0.01406864,0.449472,0,0.021510,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.213004,0.000000,0.000000,high,2,1,1,0.089437,0.000000,0.181289,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
12,2,0.168249,0.01499341,0.830495,0,0.022064,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.086488,0.000000,0.000000,high,2,1,1,0.018999,0.000000,0.095062,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
13,2,0.182385,0.01696499,0.830173,0,0.021150,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.096667,0.000000,0.000000,high,2,1,1,0.050973,0.000000,0.154953,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
14,2,0.177860,0.01763787,0.815343,0,0.020259,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.090019,0.000000,0.000000,high,2,1,1,0.008639,0.000000,0.110931,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
15,2,0.167968,0.01665092,0.816491,0,0.020586,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.087890,0.000000,0.000000,high,3,2,1,0.008639,0.000000,0.068185,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
16,2,0.219876,0.01515345,0.710124,0,0.019814,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.120076,0.000000,0.000000,high,2,2,0,0.031489,0.000000,0.134455,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
17,2,0.455164,0.02808740,0.514464,0,0.019903,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.301183,0.000000,0.000000,high,2,1,1,0.495912,0.000000,0.969903,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
18,2,0.429788,0.03391903,0.196656,0,0.022505,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.482236,0.000000,0.000000,low,5,0,5,0.098002,0.000000,0.106003,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
19,2,0.359904,0.03583025,0.350877,0,0.021078,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,1.000000,0.257984,0.000000,0.000000,high,2,1,1,0.151636,0.000000,0.200534,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
