frame,zoom_level,uncertainty,area,conf,lost,latency,command,state,zoom_in_score,zoom_out_score,scale_need,edge_risk,blur_risk,association_risk,lost_risk,overzoom_risk,assoc_stage,candidate_count,high_candidate_count,low_candidate_count,selected_cost,association_ambiguity,kalman_innovation,cooldown_remaining,stable_count,unstable_count,risk_level,zoom_veto_reason,proposed_action,final_action,veto_applied,veto_reason,decision_reason
1,1,0.000000,0.21258681,1.000000,0,0.000000,init,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,init,0,0,0,-1.000000,0.000000,0.000000,0,0,0,low,none,,,0,none,init
2,1,0.167127,0.28403360,0.808568,0,0.051550,keep,TRACKING,0.000000,0.000000,0.000000,0.265713,0.071944,0.124192,0.000000,1.000000,high,1,1,0,0.109125,0.000000,0.209402,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
3,1,0.166273,0.32043860,0.786580,0,0.020849,keep,TRACKING,0.000000,0.000000,0.000000,0.467492,0.100557,0.097366,0.000000,1.000000,high,2,1,1,0.015595,0.000000,0.083512,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
4,1,0.163179,0.33782354,0.865937,0,0.021225,keep,TRACKING,0.000000,0.000000,0.000000,0.645697,0.173471,0.069247,0.000000,1.000000,high,2,2,0,-0.004423,0.000000,0.082225,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
5,1,0.182887,0.34488759,0.816328,0,0.020247,keep,TRACKING,0.000000,0.000000,0.000000,0.742013,0.169492,0.078836,0.000000,1.000000,high,3,1,2,-0.019184,0.000000,0.047132,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
6,1,0.193679,0.36043029,0.795330,0,0.020264,keep,TRACKING,0.000000,0.000000,0.000000,0.814612,0.191594,0.069199,0.000000,1.000000,high,2,2,0,-0.058004,0.000000,0.017528,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
7,1,0.208187,0.37473054,0.786573,0,0.019812,keep,TRACKING,0.000000,0.000000,0.000000,0.845012,0.194223,0.082051,0.000000,1.000000,high,7,1,6,-0.030300,0.000000,0.044496,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
8,1,0.195022,0.38684746,0.826213,0,0.020881,keep,TRACKING,0.000000,0.000000,0.000000,0.863484,0.145577,0.069651,0.000000,1.000000,high,4,2,2,-0.033135,0.000000,0.048932,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
9,1,0.206726,0.38603023,0.765406,0,0.019622,keep,TRACKING,0.000000,0.000000,0.000000,0.795268,0.088813,0.093483,0.000000,1.000000,high,6,1,5,-0.011988,0.000000,0.051521,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
10,1,0.202997,0.37894565,0.729213,0,0.020089,keep,TRACKING,0.000000,0.000000,0.000000,0.752338,0.037351,0.094683,0.000000,1.000000,high,6,3,3,-0.037158,0.000000,0.037409,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
11,1,0.201726,0.36814013,0.717391,0,0.019968,keep,TRACKING,0.000000,0.000000,0.000000,0.731753,0.000000,0.095438,0.000000,1.000000,high,6,1,5,-0.042629,0.000000,0.037028,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
12,1,0.178760,0.35734026,0.778837,0,0.020165,keep,TRACKING,0.000000,0.000000,0.000000,0.687769,0.000000,0.087262,0.000000,1.000000,high,3,1,2,-0.019112,0.000000,0.063106,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
13,1,0.161514,0.33953144,0.783981,0,0.020097,keep,TRACKING,0.000000,0.000000,0.000000,0.560748,0.000000,0.086993,0.000000,1.000000,high,4,2,2,-0.022172,0.000000,0.050235,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
14,1,0.125438,0.32963876,0.816312,0,0.018652,keep,TRACKING,0.000000,0.000000,0.000000,0.395099,0.000000,0.075997,0.000000,1.000000,high,2,1,1,-0.025445,0.000000,0.040310,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
15,1,0.102765,0.31868122,0.829700,0,0.018448,keep,TRACKING,0.000000,0.000000,0.000000,0.270388,0.000000,0.061616,0.000000,1.000000,high,1,1,0,-0.052035,0.000000,0.032903,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
16,1,0.090709,0.29088500,0.818119,0,0.018340,keep,TRACKING,0.000000,0.000000,0.000000,0.100491,0.000000,0.072542,0.000000,1.000000,high,2,1,1,-0.030661,0.000000,0.043962,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
17,1,0.071893,0.27173028,0.813201,0,0.018883,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.063274,0.000000,1.000000,high,3,1,2,-0.062883,0.000000,0.010180,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
18,1,0.074462,0.24909984,0.834004,0,0.019673,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.059208,0.000000,1.000000,high,4,1,3,-0.053561,0.000000,0.047804,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
19,1,0.080756,0.22983412,0.811770,0,0.019308,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.066881,0.000000,1.000000,high,5,2,3,-0.051899,0.000000,0.036024,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
20,1,0.083011,0.22072131,0.815961,0,0.019490,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.076162,0.000000,1.000000,high,5,1,4,-0.022205,0.000000,0.048786,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
21,1,0.070283,0.21367469,0.862179,0,0.019329,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.065214,0.000000,1.000000,high,7,2,5,-0.020183,0.000000,0.056510,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
22,1,0.063170,0.20488583,0.853388,0,0.019900,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.050554,0.000000,1.000000,high,6,2,4,-0.066789,0.000000,0.027735,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
23,1,0.057804,0.19730077,0.881191,0,0.020172,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.051875,0.000000,1.000000,high,11,4,7,-0.039300,0.000000,0.057294,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
24,1,0.069084,0.18600046,0.866255,0,0.020154,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.065211,0.000000,1.000000,high,10,5,5,-0.014660,0.000000,0.074714,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
25,1,0.070886,0.17655445,0.883107,0,0.020004,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.065382,0.000000,1.000000,high,7,4,3,-0.000392,0.000000,0.094179,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
26,1,0.087063,0.15831981,0.868951,0,0.019713,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.078211,0.000000,1.000000,high,6,3,3,0.028839,0.000000,0.123084,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
27,1,0.062409,0.14940110,0.867812,0,0.020008,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.052209,0.000000,1.000000,high,4,3,1,-0.052753,0.000000,0.032264,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
28,1,0.097155,0.14687813,0.783037,0,0.019942,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.082514,0.000000,1.000000,high,3,2,1,-0.027903,0.000000,0.051343,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
29,1,0.078712,0.13376996,0.834096,0,0.018882,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.064371,0.000000,1.000000,high,3,2,1,-0.043220,0.000000,0.041153,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
30,1,0.089313,0.12351816,0.784837,0,0.018337,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.068866,0.000000,1.000000,high,2,2,0,-0.066698,0.000000,0.010957,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
31,1,0.082498,0.11275569,0.824797,0,0.018234,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.067710,0.000000,1.000000,high,2,2,0,-0.041794,0.000000,0.032088,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
32,1,0.110495,0.10654579,0.758662,0,0.019290,keep,TRACKING,0.000000,0.000000,0.000000,0.000000,0.000000,0.094002,0.000000,1.000000,high,4,2,2,-0.010735,0.000000,0.078483,0,0,0,hard,none,keep,keep,0,none,follow_v1_policy
