case_type,sequence,reason,ufz_auc,ufz_v2_2_auc,delta_auc_vs_ufz,ufz_dp20,ufz_v2_2_dp20,delta_dp20_vs_ufz,ufz_mean_cle,ufz_v2_2_mean_cle,delta_mean_cle_vs_ufz,zoom_1,zoom_2,zoom_4,zoom_8,command_summary
improvement_case,bike1,candidate improves AUC by 0.0348 and DP@20 by 0.0544,0.614429081392104,0.6492509309239958,0.034822,0.8007774538386784,0.8551992225461613,0.054422,15.455615922717026,13.958973397437115,-1.496643,2,495,532,0,init:1;keep:1023;zoom_in_to_2:1;zoom_in_to_4:2;zoom_out_to_2:2
improvement_case,boat9,candidate improves AUC by 0.3540 and DP@20 by 0.4797,0.20722115038056266,0.5612398498950538,0.354019,0.26552462526766596,0.7451820128479657,0.479657,98.61581798547135,123.98185583895831,25.366038,152,166,149,0,cooldown_keep:3;init:1;keep:439;zoom_in_to_2:7;zoom_in_to_4:5;zoom_out_to_1:7;zoom_out_to_2:5
improvement_case,truck1,candidate improves AUC by 0.3599 and DP@20 by 0.4000,0.47550303417438483,0.8354519322900031,0.359949,0.45161290322580644,0.8516129032258064,0.400000,178.39387833226138,11.107828700247888,-167.286050,53,79,23,0,init:1;keep:149;zoom_in_to_2:2;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
improvement_case,building4,candidate improves AUC by 0.0507 and DP@20 by 0.0684,0.04995670669728567,0.10066634039829842,0.050710,0.049429657794676805,0.11787072243346007,0.068441,206.338202161094,180.20229326215167,-26.135909,193,60,10,0,cooldown_keep:6;init:1;keep:234;zoom_in_to_2:8;zoom_in_to_4:3;zoom_out_to_1:8;zoom_out_to_2:3
failure_recovery_case,person13,log contains recovery or predict-only frames; useful for diagnosing hard-risk behavior,0.01483470380936393,0.01483470380936393,0.000000,0.006779661016949152,0.006779661016949152,0.000000,300.5802142812368,300.5802142812368,0.000000,295,0,0,0,init:1;keep:294
failure_recovery_case,car17,log contains recovery or predict-only frames; useful for diagnosing hard-risk behavior,0.014837461083218753,0.014837461083218753,0.000000,0.0764872521246459,0.0764872521246459,0.000000,170.22151996659528,170.22151996659528,0.000000,353,0,0,0,init:1;keep:352
neutral_case,person1,representative neutral comparison case,0.8484073126413768,0.8394333815404016,-0.008974,1.0,1.0,0.000000,2.8785552794609157,3.119228559115258,0.240673,267,0,0,0,init:1;keep:266
neutral_case,person20,representative neutral comparison case,0.8211997670355269,0.8099176304185038,-0.011282,0.9109243697478991,0.880672268907563,-0.030252,8.599328675986303,9.844164460913692,1.244836,415,180,0,0,init:1;keep:590;zoom_in_to_2:2;zoom_out_to_1:2
neutral_case,car5,representative neutral comparison case,0.9500178933556008,0.9459223030736807,-0.004096,1.0,1.0,0.000000,2.061899780807998,2.240369283581507,0.178470,44,205,0,0,init:1;keep:247;zoom_in_to_2:1
active_zoom_stable_case,car10,candidate keeps active telephoto zoom without large aggregate regression,0.8521395849606287,0.8507884903628957,-0.001351,1.0,1.0,0.000000,1.7762317953908497,1.7822201877564408,0.005988,2,6,461,0,init:1;keep:466;zoom_in_to_2:1;zoom_in_to_4:1
failure_recovery_case,car9,log contains recovery or predict-only frames; useful for diagnosing hard-risk behavior,0.3693369336933698,0.3606834367647296,-0.008653,0.4258373205741627,0.4258373205741627,0.000000,227.19581048600102,220.54296842447866,-6.652842,366,39,222,0,init:1;keep:622;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
regression_case,boat6,candidate drops AUC by 0.0559; include as limitation case,0.7798225919246203,0.7238764768670182,-0.055946,1.0,1.0,0.000000,2.0391962687734155,1.7206131819025898,-0.318583,10,259,0,0,init:1;keep:266;zoom_in_to_2:1;zoom_out_to_1:1
active_zoom_stable_case,boat7,candidate keeps active telephoto zoom without large aggregate regression,0.9006582222468057,0.8772055976547373,-0.023453,0.9776536312849162,0.9888268156424581,0.011173,3.482173607075852,4.312898208409781,0.830725,29,100,50,0,init:1;keep:175;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_2:1
