sequence,baseline,candidate,baseline_success_auc,candidate_success_auc,delta_success_auc,baseline_precision_20,candidate_precision_20,delta_precision_20,baseline_mean_iou,candidate_mean_iou,delta_mean_iou,total_frames,zoom_1,zoom_2,zoom_4,zoom_8,zoom_8_frames,recovery_frames,caution_frames,predict_only_frames,low_assoc_frames,command_summary
bike1,ufz,ufz_v2_2,0.614429081392104,0.6492509309239958,0.034822,0.8007774538386784,0.8551992225461613,0.054422,0.6155895340363726,0.650826231975044,0.035237,1029,2,495,532,0,0,0,0,0,0,init:1;keep:1023;zoom_in_to_2:1;zoom_in_to_4:2;zoom_out_to_2:2
bike2,ufz,ufz_v2_2,0.03136205512443125,0.03136205512443125,0.000000,0.06486486486486487,0.06486486486486487,0.000000,0.0217001617001617,0.0217001617001617,0.000000,185,185,0,0,0,0,183,0,184,0,init:1;keep:184
bike3,ufz,ufz_v2_2,0.03857972004096958,0.03857972004096958,0.000000,0.0896551724137931,0.0896551724137931,0.000000,0.02912154782337338,0.02912154782337338,0.000000,145,145,0,0,0,0,143,0,144,0,init:1;keep:144
boat1,ufz,ufz_v2_2,0.9158909246406368,0.9160553929147067,0.000164,1.0,1.0,0.000000,0.9199941768013031,0.9203567989838952,0.000363,301,30,271,0,0,0,0,0,0,0,init:1;keep:299;zoom_in_to_2:1
boat2,ufz,ufz_v2_2,0.9250936329588015,0.922423703044462,-0.002670,1.0,1.0,0.000000,0.9292112112110933,0.9264792102376596,-0.002732,267,2,265,0,0,0,0,0,0,0,init:1;keep:265;zoom_in_to_2:1
boat3,ufz,ufz_v2_2,0.8625045228775371,0.8702674254136378,0.007763,1.0,1.0,0.000000,0.8657316909417698,0.8741173827887304,0.008386,301,2,298,1,0,0,0,0,0,0,init:1;keep:298;zoom_in_to_2:1;zoom_in_to_4:1
boat4,ufz,ufz_v2_2,0.8327000267594331,0.7957720096333961,-0.036928,0.9675675675675676,0.972972972972973,0.005405,0.8359140086430709,0.7986445460045096,-0.037269,185,2,183,0,0,0,0,0,0,11,init:1;keep:183;zoom_in_to_2:1
boat5,ufz,ufz_v2_2,0.9195031929228427,0.9257718671275412,0.006269,1.0,1.0,0.000000,0.9233342839125861,0.9297595793979374,0.006425,169,2,106,61,0,0,0,0,0,0,init:1;keep:165;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_2:1
boat6,ufz,ufz_v2_2,0.7798225919246203,0.7238764768670182,-0.055946,1.0,1.0,0.000000,0.7827094307951327,0.7259198832898971,-0.056790,269,10,259,0,0,0,0,0,0,45,init:1;keep:266;zoom_in_to_2:1;zoom_out_to_1:1
boat7,ufz,ufz_v2_2,0.9006582222468057,0.8772055976547373,-0.023453,0.9776536312849162,0.9888268156424581,0.011173,0.904125432328209,0.8808739306846328,-0.023252,179,29,100,50,0,0,0,0,0,25,init:1;keep:175;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_2:1
boat8,ufz,ufz_v2_2,0.10657615979938596,0.05694150201046292,-0.049635,0.45414847161572053,0.4148471615720524,-0.039301,0.09901240324900158,0.04841434721574779,-0.050598,229,229,0,0,0,0,227,0,228,0,init:1;keep:228
